Area,2015-16,2016-17,2017-18,2018-19,2019-20
Brunswick East,"20,330","20,799","23,049","23,934","28,052"
Brunswick West,"22,477","21,385","22,389","23,190","25,915"
Coburg,"22,773","23,348","23,874","24,903","27,412"
Pascoe Vale South,"29,181","29,611","31,177","31,810","35,159"
Alphington - Fairfield,"26,485","26,240","27,465","28,298","32,674"
Northcote,"25,387","25,453","26,589","27,771","32,681"
Thornbury,"24,301","25,307","26,416","27,385","30,157"
Ascot Vale,"28,486","28,003","28,894","30,000","33,744"
Essendon - Aberfeldie,"26,866","27,610","28,102","29,708","31,599"
Flemington,"19,467","19,482","20,000","21,242","23,873"
Moonee Ponds,"29,070","28,860","29,650","30,916","33,912"
Carlton,"11,456","11,271","12,183","12,760","13,892"
Docklands,"25,440","23,196","24,431","23,164","26,013"
East Melbourne,"27,983","29,356","28,904","27,328","37,508"
Flemington Racecourse,"17,169","14,994","12,943","13,125","15,200"
Kensington (Vic.),"29,840","28,928","31,200","30,962","35,000"
Melbourne,"9,330","9,194","9,492","9,901","10,557"
North Melbourne,"15,802","15,417","16,059","17,011","18,436"
Parkville,"14,611","13,684","15,000","15,555","16,728"
South Yarra - West,"28,328","25,920","57,743","26,518","27,171"
Southbank,"21,009","19,143","18,569","18,680","18,987"
West Melbourne,np,"20,662","74,838","14,451","32,690"
Albert Park,"32,432","29,600","30,000","29,428","31,760"
Elwood,"27,839","26,684","28,860","29,024","30,872"
Port Melbourne,"39,179","39,836","42,522","41,094","44,678"
Port Melbourne Industrial,"38,500","29,540","16,958","14,535","16,886"
South Melbourne,"29,558","29,131","30,395","29,792","34,326"
St Kilda,"17,379","16,370","17,272","17,354","19,387"
St Kilda East,"21,045","20,158","21,556","21,742","23,799"
Armadale,"28,328","26,231","28,645","29,747","33,285"
Prahran - Windsor,"18,307","23,665","26,610","28,151","31,207"
South Yarra - East,"25,709","25,846","28,153","29,574","32,411"
Toorak,"25,617","26,000","26,402","28,496","30,957"
Abbotsford,"22,741","22,958","26,597","27,606","31,813"
Carlton North - Princes Hill,"21,417","20,640","21,787","22,840","26,215"
Collingwood,"20,546","21,610","23,820","26,295","30,155"
Fitzroy,"19,355","20,124","21,296","21,817","26,554"
Fitzroy North,"23,700","24,150","25,655","26,275","30,381"
Richmond (Vic.),"29,376","29,680","31,992","33,156","37,184"
Yarra - North,"29,219","28,693","31,390","32,560","35,884"
Ashburton (Vic.),"29,277","30,732","31,510","33,401","36,490"
Balwyn,"23,968","23,888","24,000","25,634","28,431"
Balwyn North,"24,935","25,000","26,000","27,078","29,662"
Camberwell,"26,581","26,144","27,818","27,712","31,444"
Glen Iris - East,"31,284","30,999","31,688","31,216","36,200"
Hawthorn,"24,801","24,775","25,747","26,739","29,831"
Hawthorn East,"25,771","26,101","27,117","26,804","31,088"
Kew,"26,586","26,508","27,332","28,935","31,267"
Kew East,"27,939","28,245","28,333","28,000","30,188"
Surrey Hills (West) - Canterbury,"27,295","29,749","30,724","29,736","32,450"
Bulleen,"26,233","24,586","26,383","27,135","30,043"
Doncaster,"22,000","22,618","22,886","23,175","25,163"
Templestowe,"26,952","27,597","27,992","28,045","30,783"
Templestowe Lower,"26,843","26,617","26,470","28,647","31,738"
Doncaster East (North),"25,956","27,000","26,957","27,279","30,000"
Doncaster East (South),"25,740","25,459","25,969","26,160","28,496"
Blackburn,"25,877","25,420","26,573","26,926","29,772"
Blackburn South,"26,926","26,375","27,252","27,263","29,385"
Box Hill,"18,848","17,120","18,106","19,299","20,131"
Box Hill North,"24,756","24,883","25,000","25,143","27,401"
Burwood,"16,538","15,072","15,155","14,795","16,642"
Burwood East,"22,669","21,900","22,067","22,471","23,793"
