 Area,"Agriculture, forestry and fishing",Mining,Manufacturing,"Electricity, gas, water and waste services",Construction,Wholesale trade,Retail trade,Accommodation and food services,"Transport, postal and warehousing",Information media and telecommunications,Finance and insurance services,"Rental, hiring and real estate services","Professional, scientific and technical services",Administrative and support services,Public administration and safety,Education and training,Health care and social assistance,Arts and recreation services,Other services,Total
Romsey,0.2,0,0.4,0,0.8,0.3,0.6,0.4,0.5,0.1,0.3,0.2,0.4,0.5,0.5,0.5,0.7,0.2,0.2,7.1
Coburg North,0,0,0.3,0,0.3,0.3,0.5,0.5,0.2,0.2,0.3,0.1,0.6,0.7,0.4,0.7,0.8,0.2,0.2,6.4
Fawkner,0,0,0.5,0.1,0.5,0.3,0.9,0.9,0.3,0.2,0.4,0.1,0.6,1.2,0.6,0.7,1,0.2,0.3,8.9
Pascoe Vale,0.1,0,0.9,0.1,1.1,0.8,1.6,1.8,0.7,0.4,1.2,0.4,1.9,2.3,1.2,1.8,2.5,0.5,0.5,20.2
Glenroy,0,0,0.9,0.1,0.9,0.6,1.7,2.4,0.6,0.3,0.9,0.3,1.4,2.8,1,1.2,2.3,0.3,0.6,18.6
Gowanbrae,0, np ,0.1,0,0.2,0.1,0.2,0.1,0.2,0,0.2,0,0.2,0.2,0.1,0.2,0.2,0.1,0.1,2.2
Hadfield,0,0,0.2,0,0.3,0.1,0.4,0.3,0.2,0.1,0.2,0.1,0.3,0.4,0.2,0.3,0.4,0.1,0.1,3.8
Sunbury,0,0,0.6,0.1,0.9,0.5,1,0.7,0.7,0.1,0.4,0.2,0.5,0.9,0.7,0.8,1.1,0.2,0.3,9.9
Sunbury - South,0.1,0,1.2,0.2,1.9,1,2.1,1.6,1.7,0.3,1.1,0.4,1.3,2.2,1.6,1.6,2.7,0.4,0.7,22.6
Broadmeadows,0,0,0.7,0.1,0.4,0.3,0.7,1,0.4,0.1,0.3,0.1,0.4,1.5,0.5,0.4,0.8,0.1,0.3,8.2
Campbellfield - Coolaroo,0,0,0.7,0.1,0.5,0.4,0.8,0.7,0.4,0.1,0.4,0.1,0.3,1.2,0.5,0.4,0.7,0.1,0.3,7.7
Gladstone Park - Westmeadows,0,0,0.9,0.1,0.9,0.6,1.2,0.9,0.9,0.1,0.6,0.3,0.7,1.4,0.8,0.9,1.2,0.2,0.4,12.3
Greenvale - Bulla,0,0,0.8,0.1,1.2,0.6,1.5,0.9,1,0.2,0.7,0.3,0.9,1.4,0.8,1.1,1.3,0.2,0.5,14.1
Meadow Heights,0,0,0.7,0,0.4,0.3,0.8,0.5,0.4,0.1,0.3,0.1,0.3,1.1,0.5,0.5,0.7,0.1,0.2,7.1
Melbourne Airport, np , np ,0, np ,0,0,0,0,0, np ,0, np , np ,0,0, np , np ,0,0,0.1
