 Area,"Agriculture, forestry and fishing",Mining,Manufacturing,"Electricity, gas, water and waste services",Construction,Wholesale trade,Retail trade,Accommodation and food services,"Transport, postal and warehousing",Information media and telecommunications,Finance and insurance services,"Rental, hiring and real estate services","Professional, scientific and technical services",Administrative and support services,Public administration and safety,Education and training,Health care and social assistance,Arts and recreation services,Other services,Total,Lga
Croydon - West,0.1,0,0.7,0.1,0.7,0.5,1,0.6,0.2,0.2,0.5,0.2,0.8,0.8,0.5,0.9,1.3,0.2,0.3,9.7,Maroondah
Croydon South,0, np ,0.3,0,0.3,0.2,0.3,0.2,0.1,0,0.2,0.1,0.3,0.3,0.2,0.3,0.5,0.1,0.1,3.5,Maroondah
Forest Hill,0,0,0.4,0,0.3,0.4,0.8,0.6,0.2,0.2,0.4,0.1,0.7,0.7,0.3,0.7,0.9,0.2,0.2,7.4,Whitehorse
Mitcham (Vic.),0,0,0.6,0.1,0.6,0.6,1.2,0.8,0.2,0.3,0.8,0.2,1.4,1.1,0.7,1.3,1.6,0.3,0.4,12.7,Whitehorse
Nunawading,0,0,0.4,0.1,0.4,0.4,0.8,0.7,0.2,0.2,0.5,0.1,0.9,0.8,0.4,0.9,1.2,0.2,0.3,8.9,Whitehorse
Vermont,0,0,0.4,0.1,0.4,0.4,0.7,0.5,0.1,0.2,0.4,0.1,0.7,0.6,0.3,0.8,0.9,0.1,0.3,7.3,Whitehorse
Vermont South,0,0,0.4,0,0.4,0.4,0.9,0.6,0.1,0.2,0.4,0.2,0.8,0.7,0.3,0.9,0.9,0.2,0.3,7.9,Whitehorse
Belgrave - Selby,0.1,0,0.4,0.1,0.6,0.4,0.7,0.4,0.2,0.2,0.3,0.1,0.6,0.5,0.4,1,0.9,0.2,0.3,7.5,Yarra Ranges
Chirnside Park,0.1,0,0.6,0.1,0.8,0.4,0.9,0.5,0.2,0.1,0.4,0.2,0.6,0.6,0.4,0.7,1,0.2,0.3,8.2,Yarra Ranges
Healesville - Yarra Glen,0.3,0,0.9,0.1,1,0.4,0.9,0.9,0.2,0.1,0.3,0.1,0.6,0.6,0.4,0.8,1,0.2,0.4,9.5,Yarra Ranges
Kilsyth,0,0,0.7,0.1,0.7,0.4,0.7,0.3,0.1,0.1,0.3,0.1,0.4,0.5,0.3,0.5,0.9,0.1,0.3,6.6,Yarra Ranges
Lilydale - Coldstream,0.2,0,1.1,0.1,1.5,0.7,1.5,0.9,0.3,0.2,0.6,0.3,0.8,1,0.7,1.2,1.7,0.3,0.6,13.9,Yarra Ranges
Monbulk - Silvan,0.3,0,0.2,0,0.4,0.3,0.4,0.3,0.1,0,0.1,0.1,0.2,0.3,0.2,0.3,0.4,0.1,0.2,4.1,Yarra Ranges
Montrose,0,0,0.4,0,0.5,0.3,0.4,0.3,0.1,0.1,0.2,0.1,0.3,0.4,0.3,0.4,0.6,0.1,0.2,4.8,Yarra Ranges
Mooroolbark,0.1,0,1.4,0.1,1.5,0.9,1.8,1,0.3,0.2,0.7,0.3,1.1,1.4,0.9,1.5,2.2,0.3,0.7,16.8,Yarra Ranges
