Area,2015-16,2016-17,2017-18,2018-19,2019-20,Lga
Horsham,12.7,13.2,13.4,13.4,13.6,Horsham Rural
Horsham Region,3.3,3.4,3.4,3.4,3.4,Horsham Rural
Nhill Region,5.2,5.4,5.6,5.7,5.6,West Wimmera
St Arnaud,2.7,2.7,2.8,2.8,2.7,Northern Grampians
Stawell,6,6.3,6.5,6.6,6.5,Northern Grampians
West Wimmera,2.6,2.7,2.7,2.7,2.7,West Wimmera
Yarriambiack,4.9,5.1,5.2,5,5.1,Yarriambiack
Irymple,4.8,5.3,5.4,5.9,6.1,Mildura Rural
Merbein,3.6,4,3.9,3.9,4,Mildura Rural
Mildura Region,2.8,3,3.1,3.3,3.2,Mildura Rural
Red Cliffs,4.5,4.9,5.1,5.4,5.7,Mildura Rural
Mildura - North,14.7,15.4,15.8,16.5,16.4,Mildura Rural
Mildura - South,10.4,11.3,13.2,13.7,14.4,Mildura Rural
Buloke,4.6,5,5,4.8,5,Buloke
Gannawarra,4.9,5.2,5.2,5.1,5,Gannawarra
Kerang,2.8,2.8,2.8,2.8,2.7,Gannawarra
Robinvale,2.8,3,2.9,3.4,4,Swan Hill Rural
Swan Hill,8.8,9,9.1,9.1,9.2,Swan Hill Rural
Swan Hill Region,5.2,5.5,5.5,5.7,5.9,Swan Hill Rural
Echuca,12.3,12.4,12.6,12.6,12.6,Campaspe
Kyabram,8.2,8.3,8.4,8.7,8.5,Campaspe
Lockington - Gunbower,3.1,3.2,3.3,3.3,3.2,Campaspe
Rochester,2.9,3.1,3.2,3.1,3,Campaspe
Rushworth,2.9,3,2.9,3,3,Campaspe
Cobram,4.4,4.5,4.7,4.6,4.7,Moira
Moira,2.2,2.3,2.3,2.3,2.4,Moira
Numurkah,9.8,10.1,10,9.9,9.9,Moira
Yarrawonga,5,5.2,5.3,5.5,5.6,Moira
Mooroopna,6.1,6.1,6,6.3,6.1,Greater Shepparton
Shepparton - North,14.8,15.1,15.3,15.9,15.7,Greater Shepparton
Shepparton - South,16.9,17.4,17.7,18.9,19.1,Greater Shepparton
Shepparton Region - East,3.6,3.6,3.6,3.7,3.6,Greater Shepparton
Shepparton Region - West,8.1,8.2,8.1,8.5,8.5,Greater Shepparton
Glenelg (Vic.),7.6,7.6,7.7,7.8,7.7,Glenelg
Hamilton (Vic.),8.5,8.3,8.4,8.5,8.6,Southern Grampians
Portland,8.2,8.3,8.3,8.5,8.4,Glenelg
Southern Grampians,6,6.2,6.2,6.3,6.2,Southern Grampians
Camperdown,2.6,2.6,2.6,2.7,2.6,Corangamite
Colac,9.3,9.5,9.5,10.4,9.9,Colac Otway
Colac Region,4.8,4.9,5,5.1,5.1,Colac Otway
Corangamite - North,4.3,4.4,4.6,4.6,4.5,Corangamite
Corangamite - South,6.2,6.3,6.4,6.6,6.5,Corangamite
Otway,3.1,3.2,3.2,3.4,3.3,Colac Otway
Moyne - East,5.8,6,6.1,6.5,6.2,Moyne
Moyne - West,7.8,8,8,8.4,8.4,Moyne
Warrnambool - North,17.4,17.9,18,19.1,18.4,Warrnambool
Warrnambool - South,10.6,10.7,10.4,11.7,11.1,Warrnambool
