Area,2015-16,2016-17,2017-18,2018-19,2019-20,Lga
Churchill,8.5,8.8,9,8.9,8.7,Latrobe
Moe - Newborough,10.6,10.9,10.9,11.3,11,Latrobe
Morwell,8.1,8,8.1,8.3,8.2,Latrobe
Traralgon,20.4,20.9,21.3,21.8,21.4,Latrobe
Yallourn North - Glengarry,3.6,3.8,3.9,3.9,3.8,Latrobe
Alps - West,0,0,0,0,0,Baw Baw
Longford - Loch Sport,2.9,3,3.1,3.1,3.2,Wellington
Maffra,10.9,10.9,11,11.3,11.3,Wellington
Rosedale,3.1,3.4,3.3,3.4,3.3,Wellington
Sale,10.7,10.7,10.9,11,10.8,Wellington
Yarram,3.9,3.9,4,4,4,Wellington
Brunswick,27.9,29.7,30.2,32,30.5,Moreland
Brunswick East,12.1,13.3,13.7,14.5,14.5,Moreland
Brunswick West,13.2,14.2,14.7,15.1,14.9,Moreland
Coburg,23.6,24.3,25,25.9,25.3,Moreland
Pascoe Vale South,7.9,8.5,8.7,9.1,9,Moreland
Alphington - Fairfield,8,8.6,8.7,9,8.8,Darebin
Northcote,24,25.3,25.8,26.9,25.4,Darebin
Thornbury,17.3,17.7,18.5,18.9,18.5,Darebin
Ascot Vale,12.8,13.7,14,14.5,13.9,Moonee Valley
Essendon - Aberfeldie,24.2,25.2,25.6,26.3,26.3,Moonee Valley
Flemington,8.6,9.1,9.7,10.1,9.7,Moonee Valley
Moonee Ponds,12.7,13.1,13.5,14.2,14.8,Moonee Valley
Carlton,14.1,14.6,15.4,16.2,15.7,Melbourne
Docklands,10.8,13.1,14.8,16.8,16.9,Melbourne
East Melbourne,5.5,5.5,5.5,5.8,5.4,Melbourne
Flemington Racecourse,0.1,0.1,0.1,0.1,0.1,Melbourne
Kensington (Vic.),10.8,11.3,11.2,11.7,11.5,Melbourne
Melbourne,39.5,43.5,47.6,50.8,48.2,Melbourne
North Melbourne,19.9,21.7,23.3,25,24.8,Melbourne
Parkville,5.6,6,6.5,6.7,6.7,Melbourne
South Yarra - West,5.9,6.6,10.2,7.7,7.4,Melbourne
Southbank,19.7,21,23,25.5,26.9,Melbourne
West Melbourne,np,0,0,0,0,Port Phillip
Albert Park,14.3,15,15.4,15.8,15.5,Port Phillip
Elwood,16.7,17.2,16.9,17.2,16.9,Port Phillip
Port Melbourne,14.7,15,14.8,15.1,14.3,Port Phillip
Port Melbourne Industrial,0.2,0.3,0.6,1.1,1.6,Port Phillip
